pid,stim,gaze,target,compat,isi,rt,acc
PO2,arrow,right,left,incomp,800,0.583,1
PO2,stim2,right,right,compat,400,0.516,1
PO2,stim3,right,left,incomp,400,0.572,0
PO2,stim4,left,right,incomp,800,0.658,1
PO2,arrow,left,left,compat,400,0.708,1
PO2,stim1,right,left,incomp,800,0.533,1
PO2,stim2,right,left,incomp,800,0.645,1
PO2,arrow,right,left,incomp,800,0.648,1
PO2,arrow,right,right,compat,400,0.699,1
PO2,stim2,left,left,compat,400,0.739,1
PO2,arrow,right,right,compat,400,0.586,1
PO2,stim1,right,right,compat,400,0.592,1
PO2,arrow,right,left,incomp,800,1.39,1
PO2,arrow,right,left,incomp,400,0.626,1
PO2,arrow,right,right,compat,800,0.591,1
PO2,arrow,left,left,compat,400,0.612,1
PO2,stim4,left,left,compat,800,0.584,1
PO2,stim5,left,left,compat,400,0.581,1
PO2,stim6,right,right,compat,800,1.171,1
PO2,arrow,left,left,compat,800,0.721,1
PO2,stim3,right,right,compat,400,0.522,1
PO2,arrow,left,right,incomp,800,0.594,1
PO2,arrow,left,left,compat,400,0.486,1
P05,arrow,right,left,incomp,800,0.542,1
P05,arrow,left,right,incomp,800,0.485,1
P05,arrow,left,left,compat,400,0.406,0
P05,arrow,right,right,compat,800,0.611,1
P05,stim7,left,right,incomp,800,0.752,1
P05,stim3,right,right,compat,400,0.543,1
P05,stim8,left,right,incomp,800,0.406,1
P05,stim5,left,left,compat,400,0.403,1
P05,stim3,right,left,incomp,400,0.302,1
P05,stim8,left,right,incomp,400,0.487,1
P05,stim2,left,right,incomp,800,0.361,1
P05,arrow,left,right,incomp,400,0.567,1
P05,stim1,right,left,incomp,800,0.326,1
P05,arrow,left,right,incomp,800,0.445,0
P05,stim1,left,right,incomp,800,0.456,1
P05,arrow,left,left,compat,400,0.492,1
P05,stim6,left,left,compat,800,0.421,1
P05,arrow,right,left,incomp,400,0.457,1
P05,arrow,right,left,incomp,800,0.563,1
P05,stim2,left,right,incomp,400,0.33,1
P05,arrow,left,right,incomp,800,0.427,1
P05,arrow,right,right,compat,400,0.582,1
P05,stim7,left,right,incomp,400,0.475,1
P05,arrow,right,right,compat,400,0.419,1
P05,arrow,left,left,compat,400,0.592,0
P05,stim7,right,left,incomp,800,0.453,1
P05,arrow,left,right,incomp,800,0.553,1
P05,stim5,right,right,compat,800,0.432,1
P05,arrow,left,right,incomp,800,0.492,1
P05,stim7,right,right,compat,400,0.557,1
P05,arrow,right,right,compat,400,0.435,1
P05,arrow,left,left,compat,400,0.639,1
P05,arrow,right,right,compat,400,0.596,1
P05,stim8,right,right,compat,400,0.625,1
P05,arrow,left,left,compat,800,0.493,1
P05,stim5,left,right,incomp,800,0.399,1
P05,arrow,left,left,compat,400,0.5,1
P05,arrow,left,right,incomp,400,0.532,1
P05,stim4,left,left,compat,800,0.38,1
P05,arrow,left,right,incomp,800,0.482,1
P05,stim4,left,right,incomp,800,0.501,1
P05,stim8,left,left,compat,400,0.597,1
P05,arrow,right,right,compat,800,0.435,0
P05,stim1,right,left,incomp,400,0.67,1
P05,stim2,right,left,incomp,800,0.56,1
P05,stim6,left,right,incomp,800,0.943,1
P05,arrow,left,left,compat,800,0.454,1
P05,stim3,left,right,incomp,800,0.466,1
P05,arrow,right,left,incomp,400,0.627,1
P05,arrow,left,left,compat,800,0.487,1
P05,arrow,left,left,compat,800,0.497,1
P05,stim7,right,right,compat,800,0.546,1
P05,arrow,right,left,incomp,400,0.689,1
P05,stim8,right,right,compat,800,0.514,1
P05,arrow,right,left,incomp,400,0.443,1
P05,stim3,right,right,compat,800,0.718,1
P05,stim3,left,left,compat,800,0.526,1
P05,arrow,right,left,incomp,800,0.71,1
P05,stim2,left,left,compat,800,0.44,1
P05,arrow,right,right,compat,800,0.572,1
P05,arrow,left,right,incomp,400,0.496,1
P05,arrow,right,right,compat,800,0.538,1
P05,arrow,right,right,compat,400,0.449,1
P05,stim2,right,right,compat,800,0.533,1
P05,stim8,right,left,incomp,400,0.491,1
P05,stim2,right,right,compat,400,0.444,1
P05,stim4,right,right,compat,400,0.383,1
P05,arrow,left,left,compat,400,0.501,1
P05,arrow,right,right,compat,400,0.548,1
P05,stim6,right,right,compat,800,0.483,1
P05,stim7,left,left,compat,400,0.453,1
P05,stim7,right,left,incomp,400,0.51,1
P05,arrow,right,left,incomp,400,0.591,1
P05,stim5,left,right,incomp,400,0.533,1
P05,arrow,left,left,compat,800,0.563,1
P05,stim5,right,left,incomp,400,0.978,1
P05,arrow,right,left,incomp,800,0.552,1
P05,arrow,left,right,incomp,800,0.608,1
P05,stim1,left,left,compat,400,0.62,1
P05,stim1,left,left,compat,800,0.583,1
P05,arrow,left,left,compat,800,0.486,1
P05,arrow,left,right,incomp,400,0.399,1
P05,stim4,right,left,incomp,800,0.54,1
P05,stim5,right,left,incomp,800,0.547,1
P05,stim8,right,left,incomp,800,0.603,1
P05,arrow,right,left,incomp,400,0.592,1
P05,stim4,right,right,compat,800,0.757,1
P05,stim8,left,left,compat,800,0.668,1
P05,arrow,right,left,incomp,800,0.726,1
P05,stim6,left,right,incomp,400,0.486,1
P05,arrow,left,right,incomp,800,0.575,1
P05,stim5,left,left,compat,800,0.502,1
P05,stim4,left,left,compat,400,0.742,0
P05,arrow,right,left,incomp,800,1.245,1
P05,arrow,right,left,incomp,800,0.706,1
P05,arrow,right,right,compat,800,0.482,1
P05,stim4,right,left,incomp,400,0.502,1
P05,arrow,right,right,compat,400,0.502,1
P05,stim1,right,right,compat,400,0.407,1
P05,stim2,right,left,incomp,400,0.554,1
P05,stim7,left,left,compat,800,0.641,1
P05,arrow,left,left,compat,800,0.389,1
P05,stim6,left,left,compat,400,0.514,1
P05,arrow,left,left,compat,400,0.547,1
P05,arrow,left,left,compat,800,1.177,1
P05,arrow,right,right,compat,800,0.544,1
P05,arrow,left,right,incomp,400,0.496,1
P05,arrow,right,left,incomp,400,0.697,1
P05,stim4,left,right,incomp,400,0.529,1
P05,arrow,right,left,incomp,400,0.537,1
P05,arrow,left,right,incomp,400,0.68,1
P05,arrow,right,right,compat,800,0.513,1
P05,stim6,right,right,compat,400,1.257,1
P05,stim1,right,right,compat,800,0.741,1
P05,stim6,right,left,incomp,400,0.62,1
P05,arrow,left,right,incomp,400,0.768,1
P05,stim3,left,right,incomp,400,0.549,1
P05,stim6,right,left,incomp,800,0.621,1
P05,stim3,left,left,compat,400,0.865,1
P05,arrow,right,right,compat,800,0.748,1
P05,arrow,left,right,incomp,400,0.538,1
P05,stim2,left,left,compat,400,0.682,1
P05,arrow,left,left,compat,400,0.523,1
P05,stim5,right,right,compat,400,0.594,1
P05,stim3,right,left,incomp,800,0.472,1
P05,arrow,right,left,incomp,800,0.923,1
P05,stim1,left,right,incomp,400,0.554,1
P05,arrow,right,right,compat,400,0.736,1
P05,stim7,left,right,incomp,400,0.794,1
P05,arrow,right,right,compat,800,0.351,1
P05,arrow,right,right,compat,400,0.534,1
P05,stim3,left,right,incomp,400,0.444,1
P05,stim1,left,right,incomp,800,0.423,1
P05,stim6,right,right,compat,800,0.349,1
P05,arrow,left,left,compat,800,0.356,1
P05,arrow,right,left,incomp,400,0.41,1
P05,arrow,right,left,incomp,400,0.341,1
P05,stim5,right,left,incomp,800,0.325,1
P05,arrow,right,left,incomp,800,0.438,0
P05,stim4,left,right,incomp,800,0.425,1
P05,stim2,right,left,incomp,400,0.333,0
P05,stim5,left,right,incomp,800,0.444,1
P05,arrow,left,right,incomp,400,0.439,1
P05,stim8,left,right,incomp,400,0.442,1
P05,arrow,left,left,compat,800,0.422,1
P05,arrow,right,right,compat,800,0.634,1
P05,arrow,right,left,incomp,800,0.486,1
P05,arrow,left,left,compat,400,0.478,1
P05,stim6,right,right,compat,400,0.584,1
P05,stim2,right,left,incomp,800,0.43,1
P05,arrow,right,right,compat,400,0.466,1
P05,stim3,left,right,incomp,800,0.475,1
P05,arrow,right,left,incomp,400,0.686,1
P05,arrow,right,right,compat,800,0.472,1
P05,arrow,left,left,compat,800,0.697,1
P05,stim6,left,left,compat,800,0.443,1
P05,arrow,right,right,compat,400,0.414,1
P05,stim4,right,left,incomp,800,0.331,1
P05,arrow,right,left,incomp,800,0.484,1
P05,stim2,left,right,incomp,400,0.508,1
P05,arrow,left,left,compat,800,0.469,1
P05,arrow,right,left,incomp,800,0.336,1
P05,stim4,right,right,compat,800,0.416,0
P05,stim5,right,left,incomp,400,0.523,1
P05,stim7,right,right,compat,800,0.627,1
P05,stim1,left,left,compat,400,0.439,0
P05,stim6,right,left,incomp,800,0.394,1
P05,arrow,left,left,compat,400,0.527,1
P05,stim4,left,right,incomp,400,0.671,1
P05,arrow,left,left,compat,400,0.512,1
P05,arrow,left,right,incomp,800,0.586,1
P05,stim8,right,left,incomp,800,0.583,1
P05,arrow,left,right,incomp,800,0.542,1
P05,stim3,left,left,compat,400,0.468,1
P05,arrow,left,right,incomp,400,0.446,1
P05,stim1,right,left,incomp,800,0.513,1
P05,arrow,left,right,incomp,800,0.482,1
P05,arrow,right,right,compat,800,0.523,1
P05,arrow,right,right,compat,800,0.452,1
P05,stim4,right,left,incomp,400,0.527,1
P05,stim6,left,right,incomp,800,0.455,1
P05,stim6,right,left,incomp,400,0.432,0
P05,arrow,right,right,compat,400,0.547,1
P05,stim2,right,right,compat,800,0.371,1
P05,stim3,right,left,incomp,400,0.441,1
P05,stim8,right,right,compat,400,0.428,1
P05,stim4,left,left,compat,800,0.528,1
P05,arrow,right,left,incomp,400,0.528,1
P05,arrow,left,left,compat,400,0.551,1
P05,arrow,left,left,compat,400,0.414,1
P05,stim6,left,right,incomp,400,0.434,1
P05,stim7,right,left,incomp,800,0.51,1
P05,arrow,right,left,incomp,800,0.437,1
P05,arrow,left,right,incomp,800,0.473,1
P05,arrow,left,right,incomp,400,0.563,1
P05,stim7,right,left,incomp,400,0.521,1
P05,stim1,right,left,incomp,400,0.44,1
P05,stim3,right,right,compat,800,0.476,1
P05,stim2,left,left,compat,400,0.461,1
P05,stim5,left,left,compat,400,0.464,1
P05,arrow,left,left,compat,400,0.45,1
P05,arrow,left,left,compat,400,0.413,1
P05,stim5,right,right,compat,800,0.545,1
P05,arrow,right,left,incomp,400,0.568,1
P05,stim3,right,right,compat,400,0.71,1
P05,stim1,left,left,compat,800,0.471,1
P05,stim5,left,left,compat,800,0.521,0
P05,arrow,left,right,incomp,800,0.593,1
P05,stim3,left,left,compat,800,0.559,1
P05,arrow,left,right,incomp,400,0.797,1
P05,arrow,left,right,incomp,800,1.011,1
P05,stim5,right,right,compat,400,0.727,1
P05,stim8,left,left,compat,800,0.543,1
P05,arrow,left,right,incomp,800,0.543,1
P05,stim7,right,right,compat,400,0.798,1
P05,stim2,left,left,compat,800,0.516,1
P05,stim6,left,left,compat,400,0.692,1
P05,stim8,left,left,compat,400,0.445,1
P05,stim4,right,right,compat,400,0.52,1
P05,arrow,left,right,incomp,400,0.736,1
P05,arrow,right,left,incomp,800,0.486,1
P05,stim2,left,right,incomp,800,0.473,1
P05,stim4,left,left,compat,400,0.49,1
P05,arrow,left,right,incomp,400,0.523,1
P05,arrow,left,left,compat,800,0.817,1
P05,arrow,right,right,compat,400,0.732,1
P05,stim1,right,right,compat,400,0.476,1
P05,stim1,right,right,compat,800,0.39,1
P05,arrow,left,left,compat,400,0.58,1
P05,arrow,right,right,compat,400,0.52,1
P05,stim7,left,right,incomp,800,0.465,1
P05,arrow,right,left,incomp,800,0.468,1
P05,stim5,left,right,incomp,400,0.549,1
P05,arrow,left,right,incomp,800,0.502,1
P05,arrow,right,left,incomp,400,0.445,1
P05,stim7,left,left,compat,400,0.624,1
P05,arrow,right,left,incomp,400,0.508,1
P05,arrow,left,left,compat,800,0.453,1
P05,arrow,left,left,compat,800,0.575,1
P05,stim8,left,right,incomp,800,0.422,0
P05,stim8,right,right,compat,800,0.498,1
P05,arrow,left,left,compat,800,0.476,1
P05,stim8,right,left,incomp,400,0.55,1
P05,arrow,right,right,compat,400,0.507,1
P05,arrow,right,left,incomp,400,0.644,1
P05,arrow,left,right,incomp,400,0.567,1
P05,arrow,right,left,incomp,800,0.534,1
P05,arrow,left,right,incomp,400,0.612,1
P05,arrow,right,right,compat,800,0.625,1
P05,stim2,right,right,compat,400,0.549,1
P05,stim3,right,left,incomp,800,0.46,1
P05,arrow,right,right,compat,800,0.495,0
P05,arrow,right,right,compat,800,0.529,1
P05,stim1,left,right,incomp,400,0.536,1
P05,arrow,right,right,compat,400,0.479,1
P05,stim7,left,left,compat,800,0.409,1
p06,stim8,right,right,compat,800,1.342,1
p06,stim4,left,right,incomp,800,0.397,1
p06,arrow,left,left,compat,400,0.472,1
p06,arrow,right,right,compat,400,0.419,1
p06,stim5,left,right,incomp,400,0.405,1
p06,stim1,right,right,compat,400,0.465,1
p06,arrow,right,right,compat,800,0.398,1
p06,stim7,right,left,incomp,800,0.657,1
p06,arrow,right,right,compat,800,0.416,1
p06,stim4,right,left,incomp,800,0.466,1
p06,stim6,left,right,incomp,800,0.483,1
p06,arrow,right,left,incomp,800,0.569,1
p06,stim2,right,left,incomp,800,0.438,1
p06,arrow,left,left,compat,800,0.983,1
p06,stim5,right,right,compat,400,0.529,1
p06,arrow,left,right,incomp,800,0.494,1
p06,arrow,left,right,incomp,400,0.348,1
p06,stim2,left,right,incomp,400,0.476,1
p06,stim4,left,left,compat,800,0.361,1
p06,stim3,right,right,compat,800,0.358,0
p06,stim5,left,right,incomp,800,0.538,1
p06,stim4,left,right,incomp,400,1.898,1
p06,arrow,left,left,compat,800,1.186,1
p06,stim3,right,left,incomp,800,0.571,1
p06,stim4,right,right,compat,800,0.926,1
p06,arrow,left,left,compat,800,0.475,1
p06,stim6,right,left,incomp,400,0,0
p06,stim1,left,left,compat,400,0.741,1
p06,arrow,left,left,compat,800,0.815,1
p06,arrow,right,right,compat,400,0.688,1
p06,stim5,right,right,compat,800,0.527,1
p06,arrow,right,left,incomp,400,0.517,1
p06,stim7,left,right,incomp,800,0.418,1
p06,arrow,right,left,incomp,800,0.515,1
p06,arrow,left,right,incomp,800,0.425,1
p06,stim6,right,right,compat,800,0.556,1
p06,arrow,left,left,compat,800,0.568,1
p06,arrow,right,right,compat,400,0.414,1
p06,stim8,right,left,incomp,400,0.942,1
p06,arrow,left,right,incomp,400,0.673,0
p06,stim2,right,left,incomp,400,0.746,1
p06,arrow,right,right,compat,800,0.597,1
p06,arrow,left,right,incomp,400,0.778,1
p06,stim8,left,right,incomp,400,0.587,1
p06,stim1,left,right,incomp,400,0.465,1
p06,arrow,left,right,incomp,800,0.454,1
p06,stim7,left,left,compat,400,0.506,1
p06,arrow,left,right,incomp,800,0.605,1
p06,arrow,right,right,compat,400,0.775,1
p06,arrow,right,right,compat,800,0.89,1
p06,arrow,right,right,compat,400,0.72,1
p06,arrow,right,right,compat,800,0.677,1
p06,stim4,right,left,incomp,400,0.492,1
p06,arrow,right,left,incomp,400,0.363,1
p06,arrow,left,right,incomp,400,0.68,1
p06,arrow,right,left,incomp,400,0.503,1
p06,stim3,right,right,compat,400,0.625,1
p06,arrow,right,right,compat,400,0.943,1
p06,stim8,right,left,incomp,800,0.562,1
p06,arrow,right,right,compat,800,0.527,1
p06,arrow,right,left,incomp,400,0.707,1
p06,stim7,left,left,compat,800,0.61,1
p06,arrow,right,right,compat,800,0.506,1
p06,stim1,right,right,compat,800,0,0
p06,arrow,left,left,compat,400,0.465,1
p06,stim3,right,left,incomp,400,0.776,1
p06,stim6,left,left,compat,400,0.595,1
p06,stim4,left,left,compat,400,0.629,1
p06,stim6,left,left,compat,800,1.102,1
p06,arrow,right,right,compat,800,0.515,1
p06,arrow,left,right,incomp,800,0.584,1
p06,arrow,right,left,incomp,800,0.523,1
p06,arrow,right,left,incomp,400,0.53,1
p06,arrow,right,left,incomp,800,0.687,1
p06,stim1,left,right,incomp,800,0.596,1
p06,stim4,right,right,compat,400,0.528,1
p06,arrow,left,left,compat,400,0.606,1
p06,stim8,left,right,incomp,800,0.36,1
p06,arrow,left,right,incomp,400,0.717,1
p06,arrow,right,left,incomp,800,0.834,1
p06,stim8,left,left,compat,800,0.586,1
p06,arrow,left,right,incomp,400,0.535,1
p06,arrow,left,left,compat,400,0.693,1
p06,arrow,right,right,compat,400,0.682,1
p06,stim2,right,right,compat,400,0.536,1
p06,stim8,right,right,compat,400,0.744,1
p06,stim2,left,left,compat,800,0.658,1
p06,stim2,left,left,compat,400,0.474,1
p06,arrow,right,left,incomp,800,0.417,1
p06,arrow,right,left,incomp,400,0.35,1
p06,stim7,right,right,compat,800,0.537,1
p06,arrow,left,left,compat,400,0.777,1
p06,stim1,left,left,compat,800,0.601,1
p06,stim7,right,right,compat,400,0.574,1
